z_m,volume_m3,area_ha
28.336583755723197,1454421.7953708414,93.8663160689677
28.366570975912275,1482576.7692848856,93.9102511787936
28.396558196101356,1510741.877041226,93.93605433853261
28.426545416290438,1538917.1186398624,94.26382420548765
28.456532636479515,1567184.7634456723,94.26382420548765
28.486519856668597,1595451.209624974,94.26382420548765
28.51650707685768,1623716.7840759063,94.26382420548765
28.546494297046756,1651984.210949624,94.26382420548765
28.576481517235838,1680251.310925203,94.26382420548765
28.60646873742492,1708518.5198668279,94.26382420548765
28.636455957613997,1736785.728808453,94.26382420548765
28.666443177803078,1765052.6108519398,94.26382420548765
28.69643039799216,1793320.0377256572,94.26382420548765
28.726417618181237,1821587.2466672824,94.26382420548765
28.75640483837032,1849881.0433241792,94.36703684444372
28.7863920585594,1878178.6537926928,94.36703684444372
28.816379278748478,1906477.3539216684,94.36703684444372
28.84636649893756,1934775.4002543667,94.36703684444372
28.87635371912664,1963074.3183154347,94.36703684444372
28.90634093931572,1991372.1467160406,94.36703684444372
28.9363281595048,2019669.9751166466,94.36703684444372
28.96631537969388,2047968.2393814374,94.36703684444372
28.99630259988296,2076264.5422573967,94.36703684444372
29.02628982007204,2104562.5885900953,94.36703684444372
29.056277040261122,2132860.6349227936,94.36703684444372
29.0862642604502,2161159.335051769,94.36703684444372
29.11625148063928,2189456.72758819,94.36703684444372
29.146238700828363,2217755.645649258,94.36703684444372
29.17622592101744,2246053.0381856794,94.36703684444372
29.206213141206522,2274352.1741788397,94.36703684444372
29.2362003613956,2302649.3487831685,94.36703684444372
29.26618758158468,2330948.9206405138,94.36703684444372
29.296174801773763,2359246.313176935,94.36703684444372
29.32616202196284,2387544.3595096334,94.36703684444372
29.356149242151922,2415843.277570701,94.36703684444372
29.386136462341,2444140.6701071225,94.36703684444372
29.41612368253008,2472439.370236098,94.36703684444372
29.446110902719163,2500736.9807046116,94.36703684444372
29.47609812290824,2529035.680833587,94.36703684444372
29.506085343097322,2557330.8940490843,94.36703684444372
29.536072563286403,2585629.3762459676,94.36703684444372
29.56605978347548,2613927.204646574,94.36703684444372
29.596047003664562,2642226.1227076417,94.36703684444372
29.626034223853644,2670524.6049045245,94.36703684444372
29.65602144404272,2698823.087101408,94.36703684444372
