date,prcp_mm
2022-07-06,0.508
2022-07-07,0.0
2022-07-08,0.0508
2022-07-09,0.0254
2022-07-10,14.7828
2022-07-11,0.8127999999999999
2022-07-12,0.0254
2022-07-13,1.016
2022-07-14,0.3048
2022-07-15,0.0
2022-07-16,5.9436
2022-07-17,0.3048
2022-07-18,0.0254
2022-07-19,4.851399999999999
2022-07-20,26.441399999999998
2022-07-21,0.2794
2022-07-22,0.0
2022-07-23,47.49799999999999
2022-07-24,0.0
2022-07-25,0.8635999999999999
2022-07-26,12.5476
2022-07-27,0.0
2022-07-28,0.2794
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.8128
2022-08-01,0.0
2022-08-02,44.5008
2022-08-03,0.2794
2022-08-04,0.0
2022-08-05,1.27
2022-08-06,16.3068
2022-08-07,0.0254
2022-08-08,9.220199999999998
2022-08-09,11.9888
2022-08-10,0.0508
2022-08-11,11.709399999999999
2022-08-12,0.0508
2022-08-13,0.3302
2022-08-14,14.757399999999999
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.127
2022-08-19,22.402799999999996
2022-08-20,5.1308
2022-08-21,0.0508
2022-08-22,0.0
2022-08-23,0.07619999999999999
2022-08-24,0.0254
2022-08-25,0.254
2022-08-26,9.4742
2022-08-27,11.0236
2022-08-28,4.622799999999999
2022-08-29,27.5336
2022-08-30,0.0508
2022-08-31,15.011399999999998
2022-09-01,25.273
2022-09-02,0.127
2022-09-03,0.0508
2022-09-04,0.0508
2022-09-05,0.0
2022-09-06,0.0
2022-09-07,4.6735999999999995
2022-09-08,15.0368
2022-09-09,11.2014
2022-09-10,1.2953999999999999
2022-09-11,0.0508
2022-09-12,1.3208
2022-09-13,0.0
2022-09-14,19.5834
2022-09-15,1.8034
2022-09-16,3.9115999999999995
2022-09-17,13.106399999999999
2022-09-18,0.0254
2022-09-19,85.09
2022-09-20,30.860999999999997
2022-09-21,10.286999999999999
2022-09-22,0.0
2022-09-23,11.963399999999998
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.07619999999999999
2022-09-28,72.9742
