year,month,monthly_total_mm,n_days_reported,days_in_month,complete,season,date
1977,5,54.599999999999994,31,31,True,dry,1977-05-01
1977,6,77.10000000000001,30,30,True,wet,1977-06-01
1977,7,144.8,31,31,True,wet,1977-07-01
1977,8,322.5,31,31,True,wet,1977-08-01
1977,9,190.0,30,30,True,wet,1977-09-01
1977,10,49.8,31,31,True,dry,1977-10-01
1977,11,111.3,30,30,True,dry,1977-11-01
1977,12,127.89999999999999,31,31,True,dry,1977-12-01
1978,1,76.8,31,31,True,dry,1978-01-01
1978,2,85.4,28,28,True,dry,1978-02-01
1978,3,42.900000000000006,31,31,True,dry,1978-03-01
1978,4,6.3999999999999995,30,30,True,dry,1978-04-01
1978,5,66.89999999999999,31,31,True,dry,1978-05-01
1978,6,229.10000000000002,30,30,True,wet,1978-06-01
1978,7,259.0,31,31,True,wet,1978-07-01
1978,8,172.1,31,31,True,wet,1978-08-01
1978,9,30.5,30,30,True,wet,1978-09-01
1978,10,48.4,31,31,True,dry,1978-10-01
1978,11,6.6,30,30,True,dry,1978-11-01
1978,12,81.2,31,31,True,dry,1978-12-01
1979,1,163.10000000000002,31,31,True,dry,1979-01-01
1979,2,40.0,28,28,True,dry,1979-02-01
1979,3,63.1,31,31,True,dry,1979-03-01
1979,4,48.8,30,30,True,dry,1979-04-01
1979,5,277.1,31,31,True,dry,1979-05-01
1979,6,72.4,30,30,True,wet,1979-06-01
1979,7,83.6,31,31,True,wet,1979-07-01
1979,8,185.9,31,31,True,wet,1979-08-01
1979,9,318.0,30,30,True,wet,1979-09-01
1979,10,3.0,31,31,True,dry,1979-10-01
1979,11,43.4,30,30,True,dry,1979-11-01
1979,12,36.8,31,31,True,dry,1979-12-01
1980,1,56.400000000000006,31,31,True,dry,1980-01-01
1980,2,63.8,29,29,True,dry,1980-02-01
1980,3,59.3,31,31,True,dry,1980-03-01
1980,4,87.2,30,30,True,dry,1980-04-01
1980,5,148.7,31,31,True,dry,1980-05-01
1980,6,37.5,30,30,True,wet,1980-06-01
1980,7,98.1,31,31,True,wet,1980-07-01
1980,8,76.0,31,31,True,wet,1980-08-01
1980,9,33.6,30,30,True,wet,1980-09-01
1980,10,14.7,31,31,True,dry,1980-10-01
1980,11,100.2,30,30,True,dry,1980-11-01
1980,12,11.5,31,31,True,dry,1980-12-01
1981,1,5.5,31,31,True,dry,1981-01-01
1981,2,129.1,28,28,True,dry,1981-02-01
1981,3,40.4,31,31,True,dry,1981-03-01
1981,4,2.8,30,30,True,dry,1981-04-01
1981,5,84.9,31,31,True,dry,1981-05-01
1981,6,110.1,26,30,True,wet,1981-06-01
1981,7,74.0,31,31,True,wet,1981-07-01
1981,8,221.39999999999998,31,31,True,wet,1981-08-01
1981,9,156.3,30,30,True,wet,1981-09-01
1981,10,113.6,31,31,True,dry,1981-10-01
1981,11,44.0,30,30,True,dry,1981-11-01
1981,12,77.9,31,31,True,dry,1981-12-01
1982,1,44.6,31,31,True,dry,1982-01-01
1982,2,38.9,28,28,True,dry,1982-02-01
1982,3,147.7,31,31,True,dry,1982-03-01
1982,4,83.4,30,30,True,dry,1982-04-01
1982,5,102.5,31,31,True,dry,1982-05-01
1982,6,66.1,30,30,True,wet,1982-06-01
1982,7,237.2,31,31,True,wet,1982-07-01
1982,8,109.4,30,31,True,wet,1982-08-01
1982,9,210.5,30,30,True,wet,1982-09-01
1982,10,61.3,31,31,True,dry,1982-10-01
1982,11,17.9,30,30,True,dry,1982-11-01
1982,12,26.3,31,31,True,dry,1982-12-01
1983,1,48.8,31,31,True,dry,1983-01-01
1983,2,244.8,28,28,True,dry,1983-02-01
1983,3,155.2,31,31,True,dry,1983-03-01
1983,4,62.4,30,30,True,dry,1983-04-01
1983,5,49.400000000000006,31,31,True,dry,1983-05-01
1983,6,172.4,27,30,True,wet,1983-06-01
1983,7,218.0,30,31,True,wet,1983-07-01
1983,8,135.2,31,31,True,wet,1983-08-01
1983,9,139.1,30,30,True,wet,1983-09-01
1983,10,224.70000000000002,31,31,True,dry,1983-10-01
1983,11,36.7,30,30,True,dry,1983-11-01
1983,12,118.1,31,31,True,dry,1983-12-01
1984,1,55.99999999999999,31,31,True,dry,1984-01-01
1984,2,82.1,28,29,True,dry,1984-02-01
1984,3,43.2,31,31,True,dry,1984-03-01
1984,4,29.2,30,30,True,dry,1984-04-01
1984,5,111.2,28,31,True,dry,1984-05-01
1984,6,69.4,28,30,True,wet,1984-06-01
1984,7,267.7,31,31,True,wet,1984-07-01
1984,8,227.7,31,31,True,wet,1984-08-01
1984,9,78.6,29,30,True,wet,1984-09-01
1984,10,28.2,31,31,True,dry,1984-10-01
1984,11,53.9,30,30,True,dry,1984-11-01
1984,12,3.8,31,31,True,dry,1984-12-01
1985,1,29.6,31,31,True,dry,1985-01-01
1985,2,24.4,28,28,True,dry,1985-02-01
1985,3,105.30000000000001,31,31,True,dry,1985-03-01
1985,4,18.7,30,30,True,dry,1985-04-01
1985,5,109.8,31,31,True,dry,1985-05-01
1985,6,160.6,30,30,True,wet,1985-06-01
1985,7,179.3,31,31,True,wet,1985-07-01
1985,8,169.8,31,31,True,wet,1985-08-01
1985,9,92.3,28,30,True,wet,1985-09-01
1985,10,73.2,31,31,True,dry,1985-10-01
1985,11,22.0,30,30,True,dry,1985-11-01
1985,12,66.7,31,31,True,dry,1985-12-01
1986,1,112.9,31,31,True,dry,1986-01-01
1986,2,49.300000000000004,28,28,True,dry,1986-02-01
1986,3,78.5,31,31,True,dry,1986-03-01
1986,4,11.5,30,30,True,dry,1986-04-01
1986,5,14.2,31,31,True,dry,1986-05-01
1986,6,152.5,30,30,True,wet,1986-06-01
1986,7,117.7,31,31,True,wet,1986-07-01
1986,8,212.5,31,31,True,wet,1986-08-01
1986,9,80.0,30,30,True,wet,1986-09-01
1986,10,101.4,31,31,True,dry,1986-10-01
1986,11,21.5,30,30,True,dry,1986-11-01
1987,1,74.2,31,31,True,dry,1987-01-01
1987,2,48.4,28,28,True,dry,1987-02-01
1987,3,307.5,31,31,True,dry,1987-03-01
1987,4,13.5,30,30,True,dry,1987-04-01
1987,5,67.5,31,31,True,dry,1987-05-01
1987,6,124.0,30,30,True,wet,1987-06-01
1987,7,152.0,31,31,True,wet,1987-07-01
1987,8,101.9,31,31,True,wet,1987-08-01
1987,9,153.9,30,30,True,wet,1987-09-01
1987,10,103.9,31,31,True,dry,1987-10-01
1987,11,260.59999999999997,30,30,True,dry,1987-11-01
1987,12,11.2,31,31,True,dry,1987-12-01
1988,1,75.0,31,31,True,dry,1988-01-01
1988,2,50.7,29,29,True,dry,1988-02-01
1988,3,90.5,29,31,True,dry,1988-03-01
1988,4,9.7,28,30,True,dry,1988-04-01
1988,5,82.1,31,31,True,dry,1988-05-01
1988,7,399.59999999999997,31,31,True,wet,1988-07-01
1988,8,267.9,31,31,True,wet,1988-08-01
1988,9,121.8,30,30,True,wet,1988-09-01
1988,10,22.7,31,31,True,dry,1988-10-01
1988,11,210.5,30,30,True,dry,1988-11-01
1988,12,27.0,31,31,True,dry,1988-12-01
1989,1,78.7,31,31,True,dry,1989-01-01
