sorting_id,contact,site_name,country,state_region,latitude,longitude,sampling_date,protocol,lfmc_value,species_collected,species_functional_type,landcover,elevation,random_split,spatial_split
54697,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-21,23,113.0,Pinus banksiana,Tree,Tree cover,205,test,test
54698,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-21,23,95.0,Pinus resinosa,Tree,Tree cover,205,train,test
54699,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-24,23,113.0,Pinus banksiana,Tree,Tree cover,205,train,test
54700,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-06-24,23,104.0,Pinus resinosa,Tree,Tree cover,205,train,test
54701,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-07-13,23,116.0,Pinus banksiana,Tree,Tree cover,205,train,test
54702,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-07-13,23,112.0,Pinus resinosa,Tree,Tree cover,205,train,test
54703,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-07-31,23,122.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54704,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-07-31,23,111.0,Pinus resinosa,Tree,Tree cover,205,train,test
54705,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-08-15,23,114.0,Pinus banksiana,Tree,Tree cover,205,train,test
54706,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-08-15,23,118.0,Pinus resinosa,Tree,Tree cover,205,train,test
54707,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-09-02,23,117.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54708,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-09-02,23,120.0,Pinus resinosa,Tree,Tree cover,205,train,test
54709,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-09-16,23,110.0,Pinus banksiana,Tree,Tree cover,205,train,test
54710,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-09-16,23,127.0,Pinus resinosa,Tree,Tree cover,205,test,test
54711,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-10-20,23,107.0,Pinus banksiana,Tree,Tree cover,205,test,test
54712,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2020-10-20,23,117.0,Pinus resinosa,Tree,Tree cover,205,validation,test
54713,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-04-06,23,110.0,Pinus banksiana,Tree,Tree cover,205,train,test
54714,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-04-06,23,127.0,Pinus resinosa,Tree,Tree cover,205,train,test
54715,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-05,23,95.0,Pinus banksiana,Tree,Tree cover,205,train,test
54716,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-05,23,100.0,Pinus resinosa,Tree,Tree cover,205,train,test
54717,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-15,23,92.0,Pinus banksiana,Tree,Tree cover,205,train,test
54718,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-15,23,97.0,Pinus resinosa,Tree,Tree cover,205,train,test
54719,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-27,23,101.0,Pinus banksiana,Tree,Tree cover,205,train,test
54720,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-05-27,23,98.0,Pinus resinosa,Tree,Tree cover,205,test,test
54721,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-08,23,99.0,Pinus banksiana,Tree,Tree cover,205,train,test
54722,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-08,23,95.0,Pinus resinosa,Tree,Tree cover,205,test,test
54723,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-15,23,118.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54724,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-15,23,95.0,Pinus resinosa,Tree,Tree cover,205,train,test
54725,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-24,23,102.0,Pinus banksiana,Tree,Tree cover,205,train,test
54726,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-24,23,98.0,Pinus resinosa,Tree,Tree cover,205,train,test
54727,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-28,23,104.0,Pinus banksiana,Tree,Tree cover,205,validation,test
54728,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-06-28,23,96.0,Pinus resinosa,Tree,Tree cover,205,train,test
54729,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-07-12,23,129.0,Pinus banksiana,Tree,Tree cover,205,train,test
54730,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-07-12,23,101.0,Pinus resinosa,Tree,Tree cover,205,train,test
54731,Jolly,8Mile,USA,Michigan,46.10138889,-86.39555556,2021-07-29,23,112.0,Pinus banksiana,Tree,Tree cover,205,validation,test
