time_min,rain_mm_hr,Pe_mm_hr,flooded_ha,mean_depth_m,outflow_total_cms,outflow_total_cfs,outflow_south_cms,outflow_south_cfs
827.0,3.589866666666667,1.4164435128805053,0.84,0.06429138779640198,0.038341084059538844,1.3540038812373965,0.011145437601953745,0.39359778528171596
827.3333333333334,3.5955111111111107,1.4188067552822758,0.84,0.06432684510946274,0.038432847316016705,1.3572444731109352,0.011166087351739407,0.3943270250004716
827.6666666666666,3.601155555555555,1.4211698953658924,0.84,0.06436232477426529,0.038419856748532766,1.35678571511741,0.01119519118219614,0.39535481804190203
828.0,3.6068,1.4235338539947406,0.8425,0.06435505300760269,0.0385712953516304,1.3621337239542222,0.011219072621315718,0.3961981838999782
828.3333333333334,3.6124444444444443,1.4258968917602033,0.845,0.06434793025255203,0.038609332316354994,1.3634769879523818,0.011203347239643335,0.3956428467638325
828.6666666666667,3.618088888888889,1.4282609527072054,0.845,0.06438329815864563,0.03860692681655564,1.3633920384486176,0.011252486146986485,0.39737817253498364
829.0,3.623733333333333,1.4306238881545141,0.8475,0.06437617540359497,0.03877789641592244,1.3694297785593763,0.01126378308981657,0.39777712068194526
829.3333333333334,3.6293777777777776,1.4329880514196702,0.8475,0.06441149115562439,0.038728879251266335,1.3676987520946953,0.01128573901951313,0.3985524877524004
829.6666666666666,3.635022222222222,1.4353522146848263,0.85,0.06440431624650955,0.03884391909195983,1.371761349556834,0.011315298033878207,0.39959635547699873
830.0,3.6406666666666663,1.4377155594047508,0.8525,0.06439733505249023,0.03890338070277721,1.3738612185043666,0.011315769515931606,0.39961300572426994
830.3333333333333,3.6463111111111104,1.4400802342606767,0.855,0.06439051777124405,0.038944345781146694,1.3753078879574612,0.011323301587253809,0.3998789985633921
830.6666666666667,3.6519555555555554,1.4424442952076788,0.8575,0.0643838569521904,0.039046683372134794,1.3789219092819287,0.011393575696274638,0.40236070764123
831.0,3.6575999999999995,1.4448086631091428,0.86,0.06437727808952332,0.03905411579125939,1.3791843829335881,0.011361551005393267,0.40122976529016163
831.3333333333334,3.6632444444444445,1.4471729286924528,0.8625,0.0643707737326622,0.03912862271590711,1.381815572625445,0.011427040444687009,0.4035425051919883
831.6666666666666,3.6688888888888886,1.449536785003147,0.8675,0.06432309746742249,0.03927464778826106,1.386972404248103,0.011398694477975368,0.40254147588135675
832.0,3.674533333333333,1.4519010505864571,0.87,0.06431712955236435,0.0392329248097667,1.3854989697794682,0.01145346905104816,0.40447582349705047
832.3333333333333,3.6801777777777778,1.4542663393513067,0.87,0.0643523782491684,0.03936780614367308,1.3902622636219717,0.011464208364486694,0.40485507912933827
