time_s,level_rise_m,level_rise_cm
43.96,0.00134,0.134
44.02,0.00134,0.134
44.07,0.00134,0.134
44.13,0.00135,0.135
44.19,0.00135,0.135
44.24,0.00135,0.135
44.30,0.00136,0.136
44.35,0.00136,0.136
44.41,0.00136,0.136
44.46,0.00136,0.136
44.52,0.00137,0.137
44.57,0.00137,0.137
44.63,0.00137,0.137
44.68,0.00138,0.138
44.74,0.00138,0.138
44.79,0.00138,0.138
44.85,0.00139,0.139
44.90,0.00139,0.139
44.96,0.00139,0.139
45.01,0.00139,0.139
45.06,0.00140,0.140
45.12,0.00140,0.140
45.17,0.00140,0.140
45.23,0.00141,0.141
45.28,0.00141,0.141
45.33,0.00141,0.141
45.39,0.00142,0.142
45.44,0.00142,0.142
45.49,0.00142,0.142
45.55,0.00142,0.142
45.60,0.00143,0.143
45.65,0.00143,0.143
45.70,0.00143,0.143
45.76,0.00144,0.144
45.81,0.00144,0.144
45.86,0.00144,0.144
45.92,0.00144,0.144
45.97,0.00145,0.145
46.02,0.00145,0.145
46.07,0.00145,0.145
46.12,0.00146,0.146
46.18,0.00146,0.146
46.23,0.00146,0.146
46.28,0.00147,0.147
46.33,0.00147,0.147
46.38,0.00147,0.147
46.44,0.00147,0.147
46.49,0.00148,0.148
46.54,0.00148,0.148
46.59,0.00148,0.148
46.64,0.00149,0.149
46.69,0.00149,0.149
46.74,0.00149,0.149
46.79,0.00149,0.149
46.85,0.00150,0.150
46.90,0.00150,0.150
46.95,0.00150,0.150
47.00,0.00151,0.151
47.05,0.00151,0.151
47.10,0.00151,0.151
47.15,0.00151,0.151
47.20,0.00152,0.152
47.25,0.00152,0.152
47.30,0.00152,0.152
47.35,0.00153,0.153
47.40,0.00153,0.153
47.45,0.00153,0.153
47.50,0.00153,0.153
47.55,0.00154,0.154
47.60,0.00154,0.154
47.65,0.00154,0.154
47.70,0.00155,0.155
47.75,0.00155,0.155
47.80,0.00155,0.155
47.85,0.00155,0.155
47.90,0.00156,0.156
47.95,0.00156,0.156
48.00,0.00156,0.156
48.05,0.00156,0.156
48.09,0.00157,0.157
48.14,0.00157,0.157
48.19,0.00157,0.157
48.24,0.00158,0.158
48.29,0.00158,0.158
48.34,0.00158,0.158
48.39,0.00158,0.158
48.44,0.00159,0.159
48.48,0.00159,0.159
48.53,0.00159,0.159
48.58,0.00160,0.160
48.63,0.00160,0.160
48.68,0.00160,0.160
48.73,0.00160,0.160
48.77,0.00161,0.161
48.82,0.00161,0.161
48.87,0.00161,0.161
48.92,0.00161,0.161
48.97,0.00162,0.162
49.01,0.00162,0.162
49.06,0.00162,0.162
49.11,0.00163,0.163
49.16,0.00163,0.163
49.20,0.00163,0.163
49.25,0.00163,0.163
49.30,0.00164,0.164
49.35,0.00164,0.164
49.39,0.00164,0.164
49.44,0.00164,0.164
49.49,0.00165,0.165
49.53,0.00165,0.165
49.58,0.00165,0.165
49.63,0.00166,0.166
49.67,0.00166,0.166
49.72,0.00166,0.166
49.77,0.00166,0.166
49.82,0.00167,0.167
49.86,0.00167,0.167
49.91,0.00167,0.167
49.95,0.00167,0.167
50.00,0.00168,0.168
50.05,0.00168,0.168
50.09,0.00168,0.168
50.14,0.00168,0.168
50.19,0.00169,0.169
50.23,0.00169,0.169
50.28,0.00169,0.169
50.32,0.00170,0.170
50.37,0.00170,0.170
50.42,0.00170,0.170
50.46,0.00170,0.170
50.51,0.00171,0.171
50.55,0.00171,0.171
50.60,0.00171,0.171
50.65,0.00171,0.171
50.69,0.00172,0.172
50.74,0.00172,0.172
50.78,0.00172,0.172
50.83,0.00172,0.172
50.87,0.00173,0.173
50.92,0.00173,0.173
50.96,0.00173,0.173
51.01,0.00174,0.174
51.05,0.00174,0.174
51.10,0.00174,0.174
51.14,0.00174,0.174
51.19,0.00175,0.175
51.23,0.00175,0.175
51.28,0.00175,0.175
51.32,0.00175,0.175
51.37,0.00176,0.176
51.41,0.00176,0.176
51.46,0.00176,0.176
51.50,0.00176,0.176
51.55,0.00177,0.177
51.59,0.00177,0.177
51.64,0.00177,0.177
51.68,0.00177,0.177
51.72,0.00178,0.178
51.77,0.00178,0.178
51.81,0.00178,0.178
51.86,0.00179,0.179
51.90,0.00179,0.179
51.95,0.00179,0.179
51.99,0.00179,0.179
52.03,0.00180,0.180
52.08,0.00180,0.180
52.12,0.00180,0.180
52.17,0.00180,0.180
52.21,0.00181,0.181
52.25,0.00181,0.181
52.30,0.00181,0.181
52.34,0.00181,0.181
52.38,0.00182,0.182
52.43,0.00182,0.182
52.47,0.00182,0.182
52.51,0.00182,0.182
52.56,0.00183,0.183
52.60,0.00183,0.183
52.64,0.00183,0.183
52.69,0.00183,0.183
52.73,0.00184,0.184
52.77,0.00184,0.184
52.82,0.00184,0.184
52.86,0.00184,0.184
52.90,0.00185,0.185
52.95,0.00185,0.185
52.99,0.00185,0.185
53.03,0.00185,0.185
53.08,0.00186,0.186
53.12,0.00186,0.186
53.16,0.00186,0.186
53.20,0.00186,0.186
53.25,0.00187,0.187
53.29,0.00187,0.187
53.33,0.00187,0.187
53.37,0.00187,0.187
53.42,0.00188,0.188
53.46,0.00188,0.188
53.50,0.00188,0.188
53.54,0.00188,0.188
53.59,0.00189,0.189
53.63,0.00189,0.189
53.67,0.00189,0.189
53.71,0.00189,0.189
53.76,0.00190,0.190
53.80,0.00190,0.190
53.84,0.00190,0.190
53.88,0.00190,0.190
53.92,0.00191,0.191
53.97,0.00191,0.191
54.01,0.00191,0.191
54.05,0.00191,0.191
54.09,0.00192,0.192
54.13,0.00192,0.192
54.18,0.00192,0.192
54.22,0.00192,0.192
54.26,0.00193,0.193
54.30,0.00193,0.193
54.34,0.00193,0.193
54.38,0.00193,0.193
54.43,0.00194,0.194
54.47,0.00194,0.194
54.51,0.00194,0.194
54.55,0.00194,0.194
54.59,0.00195,0.195
54.63,0.00195,0.195
54.67,0.00195,0.195
54.71,0.00195,0.195
54.76,0.00196,0.196
54.80,0.00196,0.196
54.84,0.00196,0.196
54.88,0.00196,0.196
54.92,0.00197,0.197
54.96,0.00197,0.197
55.00,0.00197,0.197
55.04,0.00197,0.197
55.08,0.00198,0.198
55.13,0.00198,0.198
55.17,0.00198,0.198
55.21,0.00198,0.198
55.25,0.00199,0.199
55.29,0.00199,0.199
55.33,0.00199,0.199
55.37,0.00199,0.199
55.41,0.00200,0.200
55.45,0.00200,0.200
55.49,0.00200,0.200
55.53,0.00200,0.200
55.57,0.00201,0.201
55.61,0.00201,0.201
55.65,0.00201,0.201
55.69,0.00201,0.201
55.73,0.00202,0.202
55.77,0.00202,0.202
55.81,0.00202,0.202
55.85,0.00202,0.202
55.89,0.00203,0.203
55.93,0.00203,0.203
55.98,0.00203,0.203
56.02,0.00203,0.203
56.06,0.00204,0.204
56.10,0.00204,0.204
56.14,0.00204,0.204
56.18,0.00204,0.204
56.21,0.00205,0.205
56.25,0.00205,0.205
56.29,0.00205,0.205
56.33,0.00205,0.205
56.37,0.00206,0.206
56.41,0.00206,0.206
56.45,0.00206,0.206
56.49,0.00206,0.206
56.53,0.00206,0.206
56.57,0.00207,0.207
56.61,0.00207,0.207
56.65,0.00207,0.207
56.69,0.00207,0.207
56.73,0.00208,0.208
56.77,0.00208,0.208
56.81,0.00208,0.208
56.85,0.00208,0.208
56.89,0.00209,0.209
56.93,0.00209,0.209
56.97,0.00209,0.209
57.01,0.00209,0.209
57.04,0.00210,0.210
57.08,0.00210,0.210
57.12,0.00210,0.210
57.16,0.00210,0.210
57.20,0.00211,0.211
57.24,0.00211,0.211
57.28,0.00211,0.211
57.32,0.00211,0.211
57.36,0.00212,0.212
