date,cloud_pct_scl,cloud_pct_s2cloudless,cloud_pct_combined,cloud_pixels,total_pixels,cloud_mask_path
20210523,0.58,0.0,0.56,276,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210523.tif
20210528,35.1,6.92,33.97,16816,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210528.tif
20210722,3.72,0.01,3.61,1786,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210722.tif
20210806,11.78,2.57,11.42,5653,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210806.tif
20210821,0.6,0.0,0.58,286,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20210821.tif
20211020,4.59,0.02,4.45,2202,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211020.tif
20211030,1.08,0.0,1.04,516,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211030.tif
20211124,1.36,0.0,1.31,651,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211124.tif
20211129,1.28,0.0,1.24,614,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211129.tif
20211204,0.81,0.0,0.78,388,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211204.tif
20211224,45.87,0.0,44.33,21945,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211224.tif
20211229,1.11,0.0,1.07,530,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20211229.tif
20220103,17.03,0.0,16.46,8148,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220103.tif
20220108,1.1,0.0,1.06,526,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220108.tif
20220113,0.66,0.0,0.64,316,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220113.tif
20220118,1.1,0.0,1.06,526,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220118.tif
20220202,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220202.tif
20220212,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220212.tif
20220222,2.03,0.0,1.96,972,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220222.tif
20220304,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220304.tif
20220329,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220329.tif
20220403,0.02,0.0,0.02,8,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220403.tif
20220408,0.0,0.0,0.0,0,49506,/Users/hqqq422/Desktop/deepearth/models/flood_hydrology/sentinel2/data/cloud_mask_20220408.tif
